sale_id,sale_date,store_id,product_id,quantity
EW-6583,2024-09-05,ST-44,P-71,10
AL-2050,2021-04-12,ST-23,P-88,3
HF-9466,2024-01-15,ST-35,P-20,6
XD-006535,2022-02-14,ST-6,P-68,1
YH-1328,2023-03-27,ST-70,P-59,10
CY-87316,2020-08-26,ST-34,P-68,8
KG-5729,2023-11-01,ST-28,P-54,3
DM-825644,2022-02-18,ST-25,P-77,4
PZ-4317,2023-10-05,ST-33,P-41,9
TQ-696608,2020-10-17,ST-48,P-1,5
JI-9789,2022-08-09,ST-39,P-80,8
UP-9539,2023-12-16,ST-40,P-87,4
AV-24731,2020-08-04,ST-54,P-22,10
EL-02967,2021-03-29,ST-67,P-69,1
OG-3808,2021-05-17,ST-53,P-43,2
GW-682176,2023-03-17,ST-35,P-69,8
AB-3169,2024-05-09,ST-75,P-32,3
WZ-4140,2022-02-28,ST-32,P-58,3
AD-10136,2020-03-24,ST-27,P-32,7
NY-35112,2020-10-15,ST-1,P-1,5
RF-2025,2024-02-20,ST-3,P-54,5
ZS-36160,2024-06-20,ST-55,P-35,2
HT-352973,2021-03-15,ST-68,P-85,10
EO-785293,2020-09-06,ST-57,P-74,10
UY-39814,2024-06-16,ST-16,P-40,1
QY-9244,2022-03-16,ST-41,P-1,5
UT-337767,2022-10-04,ST-53,P-24,10
WL-4366,2023-01-14,ST-45,P-56,9
HS-772451,2021-06-15,ST-42,P-37,5
IA-91909,2024-10-02,ST-11,P-89,5
VH-80261,2021-03-19,ST-46,P-27,1
QT-19369,2024-08-12,ST-6,P-78,10
SI-962155,2024-09-05,ST-67,P-30,8
IS-339451,2021-06-06,ST-4,P-47,7
EG-99011,2023-03-28,ST-22,P-30,10
MQ-8253,2023-06-22,ST-36,P-62,8
MG-7059,2020-01-10,ST-60,P-37,1
CG-5691,2024-09-22,ST-57,P-1,9
WU-40042,2021-01-02,ST-11,P-75,3
IF-6093,2023-03-29,ST-28,P-48,9
UG-166884,2020-12-05,ST-57,P-52,1
JU-315162,2023-11-26,ST-22,P-24,9
NE-96230,2023-02-09,ST-12,P-13,3
CD-6965,2023-04-27,ST-24,P-19,8
HE-6187,2024-08-22,ST-36,P-61,5
ZV-97172,2021-06-05,ST-7,P-29,6
IF-072791,2022-08-24,ST-13,P-27,3
HO-44446,2023-10-06,ST-13,P-8,5
IS-91623,2021-08-30,ST-45,P-44,3
PJ-9655,2021-06-26,ST-50,P-2,1
TR-61388,2023-01-09,ST-49,P-14,4
DV-4563,2021-08-06,ST-2,P-47,3
GJ-787565,2021-01-21,ST-30,P-79,7
NX-0508,2023-02-27,ST-2,P-19,1
WR-91139,2020-10-19,ST-1,P-67,8
ZL-10027,2020-04-22,ST-15,P-42,9
